SpeciesCode,AreaRange_km2,nHUCs,Prop_CONUS,AreaHab_km2,PropHab_CONUS,ScientificName,CommonName,LogAreaRange,LogAreaHabitat
aABSAx,137.9836659,1,1.70E-05,2.9115,3.59E-07,Eurycea waterlooensis,Austin Blind Salamander,2.139827679,0.464116794
aACSSx,125039.4852,1382,0.01543024,20732.0697,0.002559298,Plethodon chlorobryonis,Atlantic Coast Slimy Salamander,5.097047177,4.31664266
aADSAx,25409.98331,306,0.003135667,1460.8728,0.000180339,Desmognathus apalachicolae,Apalachicola Dusky Salamander,4.40500438,3.164612403
aAGTOx,739.6968353,6,9.13E-05,30.8349,3.81E-06,Anaxyrus nelsoni,Amargosa Toad,2.869053761,1.489042544
aAMBUx,6345783.49,64878,0.783088334,957926.4048,0.118252481,Lithobates catesbeianus,American Bullfrog,6.80248525,5.981332145
aAMDSx,318420.7318,3494,0.039294054,10280.6019,0.001269102,Desmognathus ochrophaeus,Allegheny Mountain Dusky Salamander,5.503001336,4.012018542
aAMTOx,3016220.93,32277,0.372210528,802657.6488,0.099085126,Anaxyrus americanus,American Toad,6.479463149,5.904530349
aARSAx,175683.1217,1701,0.021679814,16529.1606,0.002040464,Aneides lugubris,Arboreal Salamander,5.24473004,4.218250799
aARTOx,40106.488,423,0.004949259,7613.1423,0.000939814,Anaxyrus californicus,Arroyo Toad,4.603214634,3.881563947
aAZTOx,181485.9545,1938,0.0223959,11195.2953,0.001382018,Anaxyrus microscaphus,Arizona Toad,5.25884302,4.049035554
aAZTRx,119875.3603,1313,0.014792972,11808.2178,0.001457681,Hyla wrightorum,Arizona Treefrog,5.078729926,4.072184355
aBAFRx,247549.6262,2262,0.030548351,2962.8306,0.000365751,Craugastor augusti,Barking Frog,5.393662275,3.471706821
aBATRx,668420.8634,6528,0.082485099,99474.2865,0.012279734,Hyla gratiosa,Barking Treefrog,5.825049997,4.997710833
aBBSSx,53293.1789,426,0.006576535,18987.8949,0.002343986,Batrachoseps nigriventris,Black-bellied Slender Salamander,4.726671626,4.278476819
aBCSAx,263.1111976,2,3.25E-05,10.7649,1.33E-06,Gyrinophilus gulolineatus,Berry Cave Salamander,2.420139331,1.03201
aBCTRx,225327.2617,2032,0.027806046,9055.7154,0.001117895,Pseudacris hypochondriaca,Baja California Treefrog,5.352813739,3.956922765
aBESAx,77052.86636,898,0.00950855,3094.3458,0.000381986,Desmognathus quadramaculatus,Black-bellied Salamander,4.886788799,3.490568845
aBGCSx,2062.586992,25,0.000254529,85.1913,1.05E-05,Plethodon amplus,Blue Ridge Gray-cheeked Salamander,3.314412274,1.930395246
aBGSAx,441.5400723,5,5.45E-05,189.3681,2.34E-05,Plethodon sherando,Big Levels Salamander,2.644970124,2.277306822
aBLASx,74480.74421,822,0.009191143,41744.0205,0.005153145,Aneides flavipunctatus,Black Salamander,4.872044007,4.620594275
aBLSAx,450.1007999,4,5.55E-05,2.4552,3.03E-07,Eurycea robusta,Blanco Blind Salamander,2.653309785,0.390086875
aBLTOx,995.7161544,8,0.000122874,9.4194,1.16E-06,Anaxyrus exsul,Black Toad,2.998135553,0.97402324
aBMSAx,46445.51363,501,0.005731513,1295.883,0.000159972,Desmognathus welteri,Black Mountain Salamander,4.66694377,3.112565793
aBOFRx,3005095.751,31220,0.370837648,67809.4623,0.008370828,Pseudacris maculata,Boreal Chorus Frog,6.477858314,4.831290301
aBOTOx,1602977.099,17185,0.197812085,208972.7685,0.025796917,Anaxyrus boreas,Western Toad,6.204927318,5.320089696
aBRDSx,15663.14922,169,0.001932879,1052.8218,0.000129967,Desmognathus orestes,Blue Ridge Dusky Salamander,4.194879086,3.022354869
aBRFRx,158013.397,1747,0.019499318,20631.888,0.00254693,Pseudacris brimleyi,Brimley's Chorus Frog,5.19869391,4.314538972
aBRTSx,55594.30505,657,0.006860501,5514.9768,0.000680804,Eurycea wilderae,Blue Ridge Two-lined Salamander,4.745030306,3.74154369
aBSNEx,35906.07192,183,0.004430915,1043.3322,0.000128796,Notophthalmus meridionalis,Black-spotted Newt,4.555167896,3.018422611
aBSPSx,502.4195245,4,6.20E-05,26.8029,3.31E-06,Eurycea sosorum,Barton Springs Salamander,2.701066508,1.428181786
aBTISx,2873947.481,28742,0.354653566,181045.3239,0.022349377,Ambystoma mavortium,Barred Tiger Salamander,6.458478828,5.257787312
aBUPSx,883996.887,8695,0.109087814,237537.3717,0.029323112,Ambystoma laterale,Blue-spotted Salamander,5.946450736,5.375731947
aBUTOx,8375.33004,75,0.00103354,5564.3193,0.000686895,Rhinophrynus dorsalis,Burrowing Toad,3.92300193,3.745412043
aBVTRx,518927.2454,5215,0.064037147,58981.4613,0.007281044,Hyla avivoca,Bird-voiced Treefrog,5.715106473,4.770715528
aBWRWx,17957.56737,160,0.002216017,14.1867,1.75E-06,Necturus alabamensis,Black Warrior River Waterdog,4.254247504,1.151881385
aCANEx,86477.40337,516,0.010671566,1313.6175,0.000162161,Rhinella marinus,Cane Toad,4.936902641,3.118468925
aCASAx,18902.08242,192,0.002332573,1182.906,0.000146025,Dicamptodon ensatus,Calfifornia Giant Salamander,4.276509653,3.072950235
aCATOx,268793.8172,2687,0.033169947,25152.9021,0.003105033,Anaxyrus hemiophrys,Canadian Toad,5.429419275,4.4005881
aCATRx,64342.22289,618,0.007940019,2060.0973,0.000254311,Pseudacris cadaverina,California Treefrog,4.808496061,3.313887733
aCBSAx,1432.138245,13,0.00017673,31.9383,3.94E-06,Eurycea tridentifera,Comal Blind Salamander,3.155984943,1.504311796
aCCFRx,124302.3993,1171,0.015339281,3533.5548,0.000436204,Eleutherodactylus marnockii,Cliff Chirping Frog,5.094479512,3.548211831
