SpeciesCode,ScientificName,CommonName,AreaRange_km2,nHUCs,Prop_CONUS,AreaHab_km2,PropHab_CONUS,LogAreaRange,LogAreaHabitat
aABSAx,Eurycea waterlooensis,Austin Blind Salamander,137.98366587300004,1,1.7027589932205762e-05,2.9114999999999998,3.5941393447443987e-07,2.13982767885718,0.464116794444044
aACSSx,Plethodon chlorobryonis,Atlantic Coast Slimy Salamander,125039.48521205752,1382,0.015430239992932655,20732.0697,0.002559297523845207,5.097047177023103,4.316642660242475
aADSAx,Desmognathus apalachicolae,Apalachicola Dusky Salamander,25409.983309632502,306,0.0031356666257790567,1460.8727999999999,0.0001803393579992071,4.40500437978721,3.1646124030232534
aAGTOx,Anaxyrus nelsoni,Amargosa Toad,739.6968352736999,6,9.12807635998276e-05,30.834899999999998,3.806454655032082e-06,2.86905376061605,1.489042544313528
aAMBUx,Lithobates catesbeianus,American Bullfrog,6345783.490299446,64878,0.7830883343165601,957926.4048,0.11825248088137488,6.802485250466524,5.981332144551399
aAMDSx,Desmognathus ochrophaeus,Allegheny Mountain Dusky Salamander,318420.73183575954,3494,0.0392940542151019,10280.6019,0.0012691023794073166,5.503001336165993,4.012018542110263
aAMTOx,Anaxyrus americanus,American Toad,3016220.929972704,32277,0.3722105280764336,802657.6488,0.09908512573972564,6.479463149251436,5.90453034859071
aARSAx,Aneides lugubris,Arboreal Salamander,175683.1216732497,1701,0.02167981358471257,16529.1606,0.002040463899984851,5.2447300397179815,4.218250799364289
aARTOx,Anaxyrus californicus,Arroyo Toad,40605.59884189569,425,0.005010850245621296,7613.1422999999995,0.0009398143320476684,4.608585919747086,3.8815639474246275
aAZTOx,Anaxyrus microscaphus,Arizona Toad,181485.95453092994,1938,0.022395900215115998,11195.2953,0.0013820179053327167,5.2588430199740825,4.049035553517469
aAZTRx,Hyla wrightorum,Arizona Treefrog,119875.36031698746,1313,0.014792971802414501,11808.2178,0.0014576809268861807,5.078729925567202,4.07218435501977
aBAFRx,Craugastor augusti,Barking Frog,247549.62622574824,2262,0.03054835147750379,2962.8306,0.00036575050768582017,5.393662274928389,3.4717068213793545
aBATRx,Hyla gratiosa,Barking Treefrog,668420.8633946206,6528,0.08248509917463802,99474.2865,0.012279733707711717,5.825049997049821,4.997710832762139
aBBSSx,Batrachoseps nigriventris,Black-bellied Slender Salamander,53293.17889862727,426,0.006576534916130769,18987.8949,0.0023439855790472787,4.726671626357562,4.278476819187234
aBCSAx,Gyrinophilus gulolineatus,Berry Cave Salamander,263.111197594,2,3.2468695123129415e-05,10.764899999999999,1.328887193276283e-06,2.420139331361269,1.0320099998213816
aBCTRx,Pseudacris hypochondriaca,Baja California Treefrog,225327.26171270743,2032,0.027806046380316904,9055.7154,0.001117894659589482,5.3528137389725945,3.956922765196696
aBESAx,Desmognathus quadramaculatus,Black-bellied Salamander,77052.86636080065,898,0.009508550183761247,3094.3458,0.00038198557396615433,4.88678879907682,3.490568845446125
